会社コード,業種名,和文社名,住所,lat,lon,エリア
201296,化学卸売,（株）ロベルテ,東京都中央区日本橋馬喰町２－７－１３,35.696246,139.7833045,-
201305,映像・音楽,ワーナー・チャペル音楽出版（株）,東京都港区赤坂４－２－６　住友不動産新赤坂ビル,35.6754903,139.735624,-
201312,化学,ヴエ・マン・フイス香料（株）,東京都渋谷区千駄ヶ谷１－７－１６,35.6782599,139.7105387,-
202059,他サービス,ＪＢＳ　ＪＡＰＡＮ（株）,東京都港区赤坂４－１－３３　赤坂中西ビル本館６階,35.6768072,139.7350657,-
202061,精密機器卸売,ディー・ディー・シーエレクトロニクス（株）,東京都文京区本郷２－３８－５,35.7066291,139.758565,-
202074,化学卸売,エムスケミー・ジャパン（株）,東京都大田区東糀谷２－１１－２０　エムスビル,35.5547808,139.7414189,-
202087,その他卸売,日本フロス（株）,東京都港区東麻布１－２３－５　ＰＭＣビル９階,35.6561731,139.7444719,-
202166,精密機器,日本エム・ケー・エス（株）,東京都千代田区九段北４－１－２８　九段ファーストプレイス６階,35.6932605,139.7400551,-
202167,コンサルティング,カリブレイトジャパン（株）,東京都渋谷区道玄坂１－２１－１　ＳＨＩＢＵＹＡ　ＳＯＬＡＳＴＡ　３階,35.6563924,139.6965651,-
202216,建設,ピー・エイ・イー・デザイン・アンド・ファシリティー・マネージメント（日本支社）,東京都港区芝公園１－３－１０　ＰＡＥ芝ビル６階,35.6594727,139.7519056,-
202249,他サービス,スイフト・ジャパン（株）,東京都千代田区丸の内１－６－６　日本生命丸の内ビル２０階,35.6832028,139.7657671,大丸有
202254,機械卸売,日本センヂミア（株）,東京都千代田区東神田２－１０－１４　日本センヂミアビル,35.695549,139.781406,-
202292,その他卸売,ヘラマンタイトン（株）,東京都渋谷区笹塚１－４８－３　住友不動産笹塚太陽ビル７階,35.6737964,139.6695643,-
202302,輸送用機器卸売,ロールス・ロイスジャパン（株）,東京都千代田区霞が関３－２－５　霞が関ビル３１階,35.671183,139.7472406,-
202309,その他卸売,ウェストロックアジア（株）,東京都港区芝公園１－７－６　ＫＤＸ浜松町プレイス３階,35.6579448,139.7523917,-
202317,化学卸売,コネル・ブラザーズ・ジャパン（株）,東京都港区海岸１－９－１　浜離宮インターシティ４階,35.6559163,139.7617738,-
202370,機械卸売,日本キャタピラー合同会社,東京都中野区本町１－３２－２　ハーモニータワー,35.6961962,139.6834344,-
202395,精密機器卸売,エイエムオー・ジャパン（株）,東京都千代田区西神田３－５－２,35.6982814,139.7528186,-
202416,化学,（株）水島オキシトン,東京都港区芝浦３－４－１　グランパークタワー,35.6436764,139.7455608,-
202427,コンサルティング,ボストン・コンサルティング・グループ合同会社,東京都中央区日本橋室町３－２－１　日本橋室町三井タワー２５階,35.6878277,139.7725199,日八京
202479,情報・システム・ソフト,ＭＳＣＩ合同会社,東京都千代田区大手町１－７－２　東京サンケイビル１７階,35.6869994,139.7654691,大丸有
202482,飲食・外食,エームサービス（株）,東京都港区赤坂２－２３－１　アークヒルズフロントタワー,35.6681141,139.73947,-
202484,機械,ＩＴＷダイナテック（株）（登記社名　アイ・ティー・ダブリュー・ダイナテック（株））,東京都大田区西蒲田７－２６－１１,35.5636904,139.7134852,-
202496,その他卸売,グリーン，ツィードアンドカンパニージャパン（株）,東京都港区芝５－３１－１７　ＰＭＯ田町ビル１２階,35.6466161,139.746003,-
202500,鉄鋼・金属卸売,ケナメタルジャパン（株）,東京都江東区木場２－１５－１２　ＭＡビル４階,35.6722706,139.8031702,-
202540,化学卸売,シグマアルドリッチジャパン合同会社,東京都目黒区下目黒１－８－１　アルコタワー５階,35.6316957,139.7132982,-
202555,旅行,（株）クオニイツムラーレジャパン,東京都品川区北品川５－９－１１　大崎ＭＴビル２階,35.6185427,139.7347874,-
202559,他サービス,イー・エム・シー（株）,東京都中央区日本橋２－１３－１０　日本橋サンライズビル６階,35.6804882,139.7755517,日八京
202560,電気機器卸売,（株）デンシトロン,東京都大田区大森北１－２６－２　愛知家ビル２階,35.585128,139.729099,-
202581,精密機器卸売,（株）日本コクレア,東京都文京区本郷２－３－７　お茶の水元町ビル,35.7023215,139.7586193,-
202584,鉄鋼・金属卸売,日本ピーエスエム（株）,東京都大田区田園調布南８－１０　日本ドライブイット（株）内,35.5793723,139.6741095,-
202603,投信・投資顧問,ピクテ投信投資顧問（株）,東京都千代田区丸の内２－２－１　岸本ビル７階,35.6800878,139.7619335,大丸有
202605,非鉄金属,Ｔｒｉｖｉｕｍ　Ｐａｃｋａｇｉｎｇ　Ｊａｐａｎ（株）,東京都新宿区新宿２－１６－８　新宿北斗ビル５階,35.6915437,139.7085891,-
