会社コード,業種名,和文社名,住所,lat,lon
410269,化学卸売,ハンファトタルジュシクフェサ（日本支店）,東京都港区虎ノ門４－２－１２　虎ノ門４丁目ＭＴビル２号館９階,35.6641737,139.7456066
410289,情報・システム・ソフト,オートフォームジャパン（株）,東京都港区東新橋２－３－１７　ＭＯＭＥＮＴＯ　ＳＨＩＯＤＯＭＥ　３階,35.6621933,139.7581002
410297,コンサルティング,ハンドジャパン（株）,東京都中央区京橋１－２－５　京橋ＴＤビル７階,35.6788546,139.770759
410307,機械卸売,エックスアロイジャパン（株）,東京都品川区勝島１－５－２１　勝島２０号倉庫２階,35.5960853,139.7460912
410309,他サービス,（株）Ｃ＆Ｃプリンティングジャパン,東京都中央区銀座７－１７－１８　ジュエルビル銀座３階,35.6666015,139.766095
410310,映像・音楽,Ｄｏｌｂｙ　Ｊａｐａｎ（株）,東京都中央区築地１－１３－１４　ＮＢＦ東銀座スクエア３階,35.6678195,139.7697207
410326,情報・システム・ソフト,日本ティーマックスソフト（株）,東京都港区芝４－１３－４　田町第１６藤島ビル４階,35.6477962,139.7499753
410338,繊維・衣服卸売,（株）モンクレールジャパン,東京都港区北青山３－６－７　青山パラシオタワー９階,35.6653755,139.7113221
410351,精密機器卸売,シュンク・ジャパン（株）,東京都品川区南品川２－２－１３　南品川ＪＮビル１階,35.6130591,139.7419852
410352,情報・システム・ソフト,クリックテック・ジャパン（株）,東京都港区六本木１－６－１　泉ガーデンタワー１０階,35.664573,139.7395626
410370,他サービス,インターテックジャパン（株）,東京都港区海岸３－１８－１,35.6447287,139.756577
410375,旅行,（株）ＫＯＮＩ　ＣＯＭＭＵＮＩＣＡＴＩＯＮＳ,東京都千代田区神田美土代町１１－７　神田美土代ビル２階,35.6939887,139.7662562
410377,情報・システム・ソフト,（株）ＥｎｇｌｉｓｈＣｅｎｔｒａｌ,東京都台東区花川戸１－２－６,35.7112613,139.7984153
410378,電気機器卸売,トリナ・ソーラー・ジャパン（株）,東京都港区六本木３－２－１　住友不動産六本木グランドタワー３２階,35.6646782,139.7378198
410390,他サービス,シェルジャパン（株）,東京都千代田区丸の内１－１１－１　パシフィックセンチュリープレイス丸の内１２階,35.6780553,139.7668852
410429,精密機器卸売,スミス・アンド・ネフュー（株）,東京都港区芝公園２－４－１　芝パークビルＡ館３階,35.6556229,139.7522709
420008,情報・システム・ソフト,ＮＨＮ　テコラス（株）,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー２２階,35.6668216,139.7494178
420013,情報・システム・ソフト,インフォマティカ・ジャパン（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２６階,35.6621409,139.7488929
420028,精密機器,ＮＳＦＯＣＵＳジャパン（株）,東京都千代田区大手町１－５－１　大手町ファーストスクエアイーストタワー４階,35.6857768,139.7640245
420030,精密機器卸売,リシャールミルジャパン（株）,東京都千代田区霞が関３－２－１,35.6717955,139.7479434
420033,電気機器卸売,ＴＤ　ＳＹＮＮＥＸ（株）,東京都江東区東陽６－３－１　東京イースト２１ビジネスセンター２階,35.6751759,139.8143296
420037,証券,ウェルズ・ファーゴ証券（株）,東京都千代田区丸の内１－８－３　丸の内トラストタワー本館２４階,35.6823799,139.7694411
420039,証券,ジャパンネクスト証券（株）,東京都港区六本木３－１－１　六本木ティーキューブ２０階,35.6654442,139.7382988
420044,投信・投資顧問,ノーザン・トラスト・グローバル・インベストメンツ（株）,東京都港区六本木１－９－１０　アークヒルズ仙石山森タワー,35.6636616,139.7417629
420048,コンサルティング,エマーゴ・ジャパン・コンサルティング（株）,東京都千代田区丸の内１－８－３　丸の内トラストタワー本館６階（（株）ＵＬ　Ｊａｐａｎ内）,35.6823799,139.7694411
420050,他金融,タレットプレボンＥＴＰ（株）,東京都港区赤坂２－１７－７　赤坂溜池タワー４階,35.6711385,139.7392574
420054,化学卸売,オーピーアイジャパン（株）,東京都新宿区西新宿３－２０－２　東京オペラシティタワー２７階,35.682955,139.6867214
420059,航空,アエロメヒコ航空（日本支社）（登記社名　ＡＥＲＯＶＩＡＳ　ＤＥ　Ｍｅｘｉｃｏ，Ｓ．Ａ　ｄｅ　Ｃ．Ｖ．）,東京都千代田区,35.6940309,139.7537719
420072,医薬品,レオ　ファーマ（株）,東京都千代田区神田神保町１－１０５　神保町三井ビルディング９階,35.6942485,139.7605759
420075,その他卸売,三能ジャパン食品器具（株）,東京都千代田区麹町３－５－２　ビュレックス麹町５０２,35.683405,139.7388177
420079,コンサルティング,アシャースト法律事務所・外国法共同事業（登記社名　Ａｓｈｕｒｓｔ　ＬＬＰ）,東京都港区虎ノ門４－３－１　城山トラストタワー３０階,35.6646397,139.7430889
420080,コンサルティング,フレッシュフィールズブルックハウスデリンガー法律事務所（外国法共同事業）,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー３６階,35.673175,139.7363593
420086,医薬品,ヴィーブヘルスケア（株）,東京都港区赤坂１－８－１　赤坂インターシティＡＩＲ,35.6697533,139.7431185
420087,他金融,ＣＭＥ　ＧＲＯＵＰ　ＪＡＰＡＮ（株）,東京都千代田区霞が関３－２－５　霞が関ビルディング６階６２２号室,35.671183,139.7472406
420098,証券,フィリップ証券（株）,東京都中央区日本橋兜町４－２,35.6824266,139.778115
420106,証券,モルガン・スタンレー・ホールディングス（株）,東京都千代田区大手町１－９－７　大手町フィナンシャルシティ　サウスタワー,35.687589,139.765773
420113,輸送用機器卸売,スカニアジャパン（株）,東京都港区芝４－４－２０　グーゴルプレックス・ミレニアムビル７階,35.6482234,139.7491169
